Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2024-09-11 10:14:26,false,"Silkeborg Road Cycling","58,21","1.685","02:02:18","151","177","3,7","28,6","60,0","461","460","NaN","NaN","NaN","NaN","76","110","227","143,5","226","202","518","NaN","NaN","9069","NaN","NaN","NaN","10,0","No","02:02:18","1","26,0","30","17","38","02:01:58","02:32:14","11","124"
Road Cycling,2024-09-06 10:12:14,false,"Silkeborg Road Cycling","66,45","1.776","02:23:10","138","181","3,6","27,8","66,8","488","484","NaN","NaN","NaN","NaN","80","112","213","140,2","198","180","607","NaN","NaN","11135","NaN","NaN","NaN","23,0","No","00:28:51","3","29,0","29","21","43","02:23:04","02:27:33","28","123"
Road Cycling,2024-09-05 09:13:15,false,"Silkeborg Road Cycling","66,47","1.831","02:23:21","140","189","3,7","27,8","53,2","482","480","NaN","NaN","NaN","NaN","81","116","230","163,3","223","186","760","NaN","NaN","11174","NaN","NaN","NaN","20,0","No","02:23:21","1","26,0","30","19","46","02:23:17","02:27:43","27","123"
Road Cycling,2024-09-03 09:30:16,false,"Silkeborg Road Cycling","56,84","1.493","02:11:38","131","191","3,3","25,9","46,8","413","412","NaN","NaN","NaN","NaN","75","110","226","144,0","193","162","856","NaN","NaN","9320","NaN","NaN","NaN","20,0","No","02:11:38","1","26,0","28","14","48","02:11:23","02:27:12","29","96"
Road Cycling,2024-08-31 11:18:10,false,"Silkeborg Road Cycling","111,47","2.978","03:55:08","141","180","4,5","28,4","48,9","482","501","NaN","NaN","NaN","NaN","82","112","212","226,6","284","184","614","NaN","NaN","18487","NaN","NaN","NaN","17,0","No","03:55:08","1","28,0","31","13","48","03:54:59","04:12:18","36","96"
Road Cycling,2024-08-29 07:34:10,false,"Silkeborg Road Cycling","94,02","2.547","03:30:16","139","175","4,2","26,8","58,3","922","926","NaN","NaN","NaN","NaN","78","114","212","203,3","233","175","582","NaN","NaN","14563","NaN","NaN","NaN","18,0","No","03:30:16","1","28,0","29","17","38","03:29:59","03:39:54","23","125"
Road Cycling,2024-08-27 10:06:46,false,"Silkeborg Road Cycling","49,48","1.387","01:54:48","139","194","3,5","25,9","52,8","493","488","NaN","NaN","NaN","NaN","81","111","234","134,4","206","174","792","NaN","NaN","8386","NaN","NaN","NaN","17,0","No","01:54:48","1","26,0","29","17","46","01:54:37","01:56:20","21","129"
Road Cycling,2024-08-25 11:10:58,false,"Silkeborg Road Cycling","45,68","1.253","01:40:05","136","178","3,5","27,4","53,2","369","370","NaN","NaN","NaN","NaN","78","123","226","109,4","232","182","827","NaN","NaN","7439","NaN","NaN","NaN","15,0","No","01:40:05","1","29,0","29","19","39","01:39:59","01:42:27","58","97"
Road Cycling,2024-08-19 09:43:41,false,"Silkeborg Road Cycling","87,17","2.213","03:18:45","129","158","3,5","26,3","46,4","488","491","NaN","NaN","NaN","NaN","78","106","177","132,6","184","159","544","NaN","NaN","14640","NaN","NaN","NaN","18,0","No","00:53:40","2","27,0","27","15","34","03:18:26","03:26:07","54","101"
Road Cycling,2024-08-17 07:28:39,false,"Silkeborg - 2x20min Sweetspot","63,20","1.749","02:15:04","134","161","3,4","28,1","48,2","353","355","NaN","NaN","NaN","NaN","78","107","210","126,5","257","189","456","NaN","NaN","10241","NaN","NaN","NaN","14,0","No","00:05:00","6","26,0","30","18","40","02:14:49","02:23:34","60","102"
